"reviewer$gpa","reviewer$academic_major","reviewer$age_range","reviewer$location","reviewer$gender","reviewer$signin_count","reviewer$user_id","review$avg_score","review$score1","review$score2","review$score3","review$score4","review$score5","reviewee$team_id","reviewee$team_size"
"3.5-4.00","Science","over 50","Italy","Male",95,30064,4.6,5,6,7,3,2,5986,33
"Does not apply","Science","26-30","Russian Federation","Female",48,11977,4.6,5,3,6,6,3,5470,17
"3.5-4.00","Engineering","26-30","Chile","Male",10,23957,6,7,3,6,5,9,5693,7
"3.5-4.00","Engineering","31-35","United States","Female",85,4274,8.8,9,9,9,9,8,5215,4
"3.5-4.00","Engineering","31-35","United States","Female",85,4274,5.4,8,8,4,4,3,5836,4
"3.5-4.00","Engineering","31-35","United States","Female",85,4274,10,10,10,10,10,10,5309,7
"3.5-4.00","Engineering","31-35","United States","Female",85,4274,4.4,5,4,4,4,5,5939,4
"NULL","NULL","NULL","United States","NULL",391,34624,4.6,2,2,6,4,9,5309,7
"3.5-4.00","Engineering","31-35","United States","Female",85,4274,5,6,5,5,8,1,5986,33
"3.5-4.00","Engineering","31-35","United States","Female",85,4274,3.2,4,4,5,2,1,5479,17
"Does not apply","Science","21-25","India","Male",72,12665,8.2,9,9,9,8,6,5986,33
"3.5-4.00","Engineering","31-35","United States","Female",85,4274,2.4,2,5,2,2,1,5363,1
"Does not apply","Engineering","26-30","Russian Federation","Male",305,18289,2,2,1,2,2,3,5651,0
"3.5-4.00","Engineering","26-30","Chile","Male",10,23957,3.4,2,6,5,3,1,5906,9
"3.5-4.00","Engineering","26-30","Chile","Male",10,23957,5.4,4,9,8,5,1,5215,4
"Does not apply","Other","26-30","United States","Male",213,9811,6.6,8,6,8,6,5,6382,2
"Does not apply","Other","26-30","United States","Male",213,9811,6,7,6,7,7,3,7074,1
"Does not apply","Other","26-30","United States","Male",213,9811,7.8,8,8,8,8,7,5106,2
"Does not apply","Engineering","36-40","United States","Male",82,23485,5.6,6,4,4,5,9,5309,7
"3.5-4.00","Business","41-45","United States","Male",87,14242,6,8,8,4,5,5,5144,2
"3.5-4.00","Business","over 50","Pakistan","Male",154,22224,7.4,7,7,8,8,7,5939,4
"NULL","NULL","NULL","Iran, Islamic Republic of","NULL",59,34883,4.4,7,5,3,5,2,5226,1
"NULL","NULL","NULL","Iran, Islamic Republic of","NULL",59,34883,1.8,1,2,3,2,1,5635,2
"NULL","NULL","NULL","Iran, Islamic Republic of","NULL",59,34883,6.6,7,7,8,6,5,5875,3
"3.5-4.00","Engineering","21-25","India","Male",100,10849,3.6,3,4,4,3,4,5283,3
"NULL","NULL","NULL","Iran, Islamic Republic of","NULL",59,34883,8,8,6,8,9,9,5663,7
"NULL","NULL","NULL","Iran, Islamic Republic of","NULL",59,34883,5,6,5,6,5,3,5026,2
"3.5-4.00","Engineering","21-25","India","Male",100,10849,4.2,5,5,3,3,5,5223,1
"NULL","NULL","NULL","Iran, Islamic Republic of","NULL",59,34883,2.8,3,3,3,2,3,5562,2
"NULL","NULL","NULL","Iran, Islamic Republic of","NULL",59,34883,5,7,5,5,3,5,5939,4
"3.5-4.00","Engineering","21-25","India","Male",100,10849,5.2,5,7,6,4,4,5150,4
"Does not apply","Business","21-25","Germany","Male",83,14340,6,8,3,7,9,3,5026,2
"3.5-4.00","Business","41-45","United States","Male",87,14242,4.6,5,7,4,4,3,5939,4
"3.5-4.00","Engineering","31-35","United States","Male",68,4156,4,6,2,5,2,5,5693,7
"1.5-2","Engineering","21-25","India","Male",108,16816,3.2,2,4,3,2,5,5250,3
"Does not apply","Business","26-30","Germany","Male",54,13839,5.4,9,5,5,4,4,5906,9
"Does not apply","Business","26-30","Germany","Male",54,13839,5.2,8,7,6,1,4,5470,17
"Does not apply","Business","41-45","Malaysia","Male",502,4812,2.6,3,4,2,2,2,6382,2
"Does not apply","Business","41-45","Malaysia","Male",502,4812,2,2,3,2,1,2,5921,3
"Does not apply","Engineering","41-45","Sweden","Female",260,8394,6,8,7,7,7,1,5906,9
"Does not apply","Other","26-30","United States","Male",213,9811,9,9,9,9,9,9,5752,6
"Does not apply","Other","26-30","United States","Male",213,9811,8.4,8,8,8,9,9,5473,5
"Does not apply","Other","26-30","United States","Male",213,9811,6.4,8,7,7,7,3,5993,2
"Does not apply","Law","31-35","France","Male",7,23306,4.6,5,5,5,5,3,5470,17
"3.5-4.00","Engineering","21-25","India","Male",100,10849,3.4,3,4,3,3,4,5939,4
"3.5-4.00","Engineering","21-25","India","Male",100,10849,2.6,3,3,2,3,2,5114,5
"3.5-4.00","Engineering","21-25","India","Male",100,10849,2.8,3,4,3,3,1,5601,1
"3.5-4.00","Engineering","21-25","India","Male",100,10849,4.4,5,5,4,3,5,5536,4
"Do not want to disclose","Engineering","46-50","Australia","Male",65,15773,3.4,6,4,2,4,1,5693,7
"Do not want to disclose","Engineering","46-50","Australia","Male",65,15773,7.4,9,6,8,6,8,5470,17
"Does not apply","Other","26-30","United States","Male",213,9811,7.8,8,8,8,8,7,5026,2
"Does not apply","Engineering","31-35","United States","Male",364,9491,4.2,5,4,4,3,5,5608,2
"Does not apply","Business","41-45","Malaysia","Male",502,4812,2.6,3,2,3,1,4,5170,2
"Do not want to disclose","Engineering","46-50","Australia","Male",65,15773,2.8,3,4,3,2,2,5069,4
"Do not want to disclose","Engineering","46-50","Australia","Male",65,15773,4.4,5,6,5,4,2,5026,2
"3-3.49","Science","18-20","Philippines","Male",112,19750,6.2,7,6,8,5,5,5693,7
"Do not want to disclose","Engineering","46-50","Australia","Male",65,15773,4.8,7,3,2,2,10,5560,0
"Do not want to disclose","Engineering","46-50","Australia","Male",65,15773,6.2,8,5,8,4,6,5764,1
"Does not apply","Business","41-45","Malaysia","Male",502,4812,2.2,3,1,2,1,4,5560,0
"NULL","NULL","NULL","Iran, Islamic Republic of","NULL",59,34883,5.6,6,6,7,4,5,5608,2
"NULL","NULL","NULL","Iran, Islamic Republic of","NULL",59,34883,5.6,5,5,5,7,6,5307,6
"NULL","NULL","NULL","Iran, Islamic Republic of","NULL",59,34883,4.4,4,5,5,4,4,5360,3
"NULL","NULL","NULL","Iran, Islamic Republic of","NULL",59,34883,3.8,4,3,4,5,3,5369,2
"Does not apply","Other","26-30","United States","Male",213,9811,7.2,8,8,8,7,5,5608,2
"Do not want to disclose","Humanities","46-50","Italy","Female",213,16306,8.8,10,8,8,9,9,5752,6
"Do not want to disclose","Engineering","46-50","India","Female",101,24314,5.2,6,7,5,4,4,5667,1
"Does not apply","Business","21-25","Germany","Male",83,14340,5.4,6,4,4,9,4,5539,2
"3.5-4.00","Business","41-45","United States","Male",87,14242,1,1,1,1,1,1,5288,2
"NULL","NULL","NULL","Iran, Islamic Republic of","NULL",59,34883,4,6,5,3,3,3,5151,2
"3.5-4.00","Science","21-25","Germany","Male",98,16101,5.8,3,8,4,6,8,5215,4
"3.5-4.00","Science","21-25","Germany","Male",98,16101,3.6,3,1,5,7,2,5836,4
"3.5-4.00","Science","21-25","Germany","Male",98,16101,4.8,5,1,6,3,9,5608,2
"3.5-4.00","Engineering","21-25","India","Male",100,10849,3.2,5,2,1,2,6,5608,2
"3.5-4.00","Science","21-25","Germany","Male",98,16101,9.4,10,8,9,10,10,5752,6
"Does not apply","Business","41-45","Faroe Islands","Male",26,4638,4.6,6,7,5,3,2,5836,4
"Does not apply","Business","41-45","Faroe Islands","Male",26,4638,6.2,9,6,6,6,4,7024,3
"Does not apply","Engineering","31-35","United States","Male",364,9491,3.6,5,3,3,5,2,5473,5
"Does not apply","Engineering","26-30","Ukraine","Male",85,5742,6.2,4,9,8,9,1,5250,3
"3.5-4.00","Business","over 50","Pakistan","Male",154,22224,8,8,8,8,8,8,5154,3
"3-3.49","Business","36-40","United States","Male",48,9259,5.4,5,8,8,5,1,5069,4
"3-3.49","Business","36-40","United States","Male",48,9259,5.8,5,9,5,8,2,5250,3
"3-3.49","Business","36-40","United States","Male",48,9259,3.4,3,3,5,5,1,5906,9
"3.5-4.00","Other","over 50","Canada","Male",164,7841,4.2,4,4,4,4,5,5631,4
"3.5-4.00","Other","over 50","Canada","Male",164,7841,2.6,3,3,3,3,1,5442,2
"3.5-4.00","Other","over 50","Canada","Male",164,7841,2.4,3,2,3,2,2,5421,6
"2.5-3","Humanities","36-40","Peru","Female",49,30368,5,7,7,5,4,2,5836,4
"3.5-4.00","Science","36-40","United Arab Emirates","Male",27,31981,3.2,8,2,2,2,2,5631,4
"2.5-3","Humanities","36-40","Peru","Female",49,30368,2.8,2,4,3,3,2,5250,3
"NULL","NULL","NULL","Iran, Islamic Republic of","NULL",59,34883,4.2,6,3,5,4,3,5442,2
"2.5-3","Humanities","36-40","Peru","Female",49,30368,2.4,3,2,3,2,2,5631,4
"NULL","NULL","NULL","Iran, Islamic Republic of","NULL",59,34883,4.4,4,5,5,5,3,5516,2
"NULL","NULL","NULL","Iran, Islamic Republic of","NULL",59,34883,1.8,3,1,3,1,1,5464,5
"NULL","NULL","NULL","Iran, Islamic Republic of","NULL",59,34883,4.2,7,2,6,3,3,5235,4
"Does not apply","Engineering","31-35","Spain","Male",94,2765,4.6,8,6,5,3,1,5095,3
"Does not apply","Other","36-40","United Kingdom","Male",115,13070,5.8,5,9,7,7,1,5250,3
"Does not apply","Other","36-40","United Kingdom","Male",115,13070,6.2,7,7,5,8,4,5906,9
"3-3.49","Engineering","46-50","Iran, Islamic Republic of","Female",420,19447,4.8,6,4,4,4,6,5213,8
"2.5-3","Science","21-25","Trinidad and Tobago","Male",66,15143,7.8,8,7,10,9,5,5204,6
"2.5-3","Humanities","36-40","Peru","Female",49,30368,4,5,2,6,5,2,5473,5
"Does not apply","Other","36-40","United Kingdom","Male",115,13070,3.4,2,3,4,4,4,6109,1
"3-3.49","Business","36-40","United States","Male",48,9259,4.6,3,7,5,6,2,5599,7
"Does not apply","Other","26-30","United States","Male",213,9811,6.2,7,7,7,5,5,5365,2
"Does not apply","Business","41-45","Malaysia","Male",502,4812,3.2,3,4,2,4,3,5473,5
"3-3.49","Engineering","46-50","Iran, Islamic Republic of","Female",420,19447,1.8,2,2,2,2,1,5374,9
"3-3.49","Engineering","46-50","Iran, Islamic Republic of","Female",420,19447,1,1,1,1,1,1,6850,4
"Do not want to disclose","Humanities","46-50","Italy","Female",213,16306,8.2,9,6,8,9,9,6633,2
"3-3.49","Engineering","46-50","Iran, Islamic Republic of","Female",420,19447,3.2,4,3,4,2,3,5958,2
"Do not want to disclose","Engineering","46-50","India","Female",101,24314,1,1,1,1,1,1,6831,7
"Does not apply","Law","26-30","Argentina","Male",27,13179,6.2,8,4,8,9,2,5470,17
"3.5-4.00","Engineering","21-25","India","Male",100,10849,1.2,1,2,1,1,1,7047,1
"3.5-4.00","Engineering","21-25","India","Male",100,10849,2.2,3,2,2,2,2,5631,4
"3.5-4.00","Humanities","41-45","United States","Male",25,14482,2.4,2,5,2,1,2,5215,4
"Does not apply","Medicine","18-20","United Kingdom","Male",54,23187,3,5,5,2,1,2,5069,4
"3.5-4.00","Other","26-30","Belarus","Female",58,8684,4,5,4,5,4,2,5026,2
"3.5-4.00","Other","over 50","Canada","Male",164,7841,6,7,6,6,4,7,5511,1
"Does not apply","Other","26-30","United States","Male",213,9811,6.2,8,8,8,4,3,5601,1
"Do not want to disclose","Engineering","46-50","India","Female",101,24314,5,4,6,5,5,5,5442,2
"Does not apply","Science","26-30","Russian Federation","Female",48,11977,5.8,7,7,6,4,5,5693,7
"2-2.49","Architecture","31-35","Spain","Male",59,14823,7.2,8,9,7,6,6,5836,4
"3.5-4.00","Business","36-40","Italy","Male",588,3417,7,8,7,6,6,8,6277,3
"3.5-4.00","Science","36-40","United States","Male",83,19690,4.4,5,5,7,4,1,5470,17
"3.5-4.00","Engineering","31-35","United States","Male",68,4156,4.8,8,2,2,4,8,5470,17
"3.5-4.00","Engineering","31-35","United States","Male",68,4156,3,2,5,3,4,1,5069,4
"3.5-4.00","Engineering","31-35","United States","Male",68,4156,2.6,2,1,1,2,7,5651,0
"3.5-4.00","Engineering","31-35","United States","Male",68,4156,1,1,1,1,1,1,6442,7
"3.5-4.00","Engineering","31-35","United States","Male",68,4156,2,2,4,2,1,1,5429,2
"3.5-4.00","Engineering","31-35","United States","Male",68,4156,3.2,4,3,7,1,1,5475,5
"3.5-4.00","Business","over 50","Pakistan","Male",154,22224,7.4,7,7,7,7,9,5402,4
"Does not apply","Other","26-30","United States","Male",213,9811,9,9,9,9,9,9,5402,4
"Does not apply","Business","36-40","Germany","Male",354,21907,5.6,6,6,6,4,6,5402,4
"Does not apply","Medicine","18-20","United Kingdom","Male",54,23187,3.8,7,2,2,5,3,5470,17
"3.5-4.00","Engineering","31-35","United States","Male",68,4156,2,4,2,2,1,1,6204,1
"2.5-3","Science","21-25","Trinidad and Tobago","Male",66,15143,6.6,7,7,9,5,5,5758,5
"3-3.49","Science","26-30","Egypt","Male",98,2295,6.8,10,8,6,5,5,5693,7
"3.5-4.00","Engineering","over 50","Bolivia","Male",131,27480,2.8,3,3,3,4,1,5402,4
"Does not apply","Business","36-40","Germany","Male",354,21907,3.8,6,5,4,2,2,5986,33
"Does not apply","Business","36-40","Germany","Male",354,21907,3.2,5,3,2,2,4,5651,0
"Does not apply","Business","36-40","Germany","Male",354,21907,1,1,1,1,1,1,6792,6
"Does not apply","Business","36-40","Germany","Male",354,21907,4.2,7,7,5,1,1,5787,3
"Does not apply","Business","36-40","Germany","Male",354,21907,1,1,1,1,1,1,6485,7
"Does not apply","Business","36-40","Germany","Male",354,21907,1,1,1,1,1,1,6387,0
"Does not apply","Business","36-40","Germany","Male",354,21907,1.6,2,2,2,1,1,7054,0
"Does not apply","Business","41-45","Malaysia","Male",502,4812,2.6,2,4,2,2,3,5556,1
"Does not apply","Engineering","31-35","Lithuania","Male",24,10476,1,1,1,1,1,1,5277,7
"Does not apply","Engineering","31-35","Lithuania","Male",24,10476,5.4,7,6,6,6,2,6271,4
"Does not apply","Business","41-45","Malaysia","Male",502,4812,2,2,2,2,2,2,5015,0
"Does not apply","Other","over 50","India","Male",143,17491,5,5,2,4,6,8,5899,6
"Does not apply","Business","36-40","Germany","Male",354,21907,2.2,5,3,1,1,1,5764,1
"3.5-4.00","Engineering","21-25","India","Male",144,9963,5.6,7,7,5,5,4,5250,3
"3.5-4.00","Engineering","21-25","India","Male",100,10849,3.4,4,4,4,3,2,5004,5
"Does not apply","Humanities","46-50","United States","Female",87,23314,1,1,1,1,1,1,5250,3
"Does not apply","Humanities","46-50","United States","Female",87,23314,1,1,1,1,1,1,5906,9
"Does not apply","Humanities","46-50","United States","Female",87,23314,1,1,1,1,1,1,5470,17
"Does not apply","Business","41-45","Malaysia","Male",502,4812,2.8,3,2,4,2,3,5402,4
"3.5-4.00","Other","Do not want to disclose","United States","Male",39,5107,5.4,7,9,5,5,1,5836,4
"3.5-4.00","Other","Do not want to disclose","United States","Male",39,5107,3.8,5,3,4,4,3,5693,7
"3.5-4.00","Other","Do not want to disclose","United States","Male",39,5107,2.6,5,3,1,3,1,5069,4
"3.5-4.00","Engineering","21-25","India","Male",144,9963,4,5,4,4,4,3,5836,4
"3.5-4.00","Engineering","21-25","India","Male",144,9963,2.8,3,3,3,3,2,5906,9
"3.5-4.00","Engineering","18-20","India","Male",27,15387,5.6,6,6,5,4,7,5470,17
"3-3.49","Engineering","26-30","United States","Male",25,33030,3.4,3,6,3,3,2,5250,3
"3-3.49","Engineering","26-30","United States","Male",25,33030,5,6,3,6,5,5,5693,7
"Do not want to disclose","Other","36-40","Japan","Male",233,19656,4,5,4,4,3,4,5470,17
"Does not apply","Other","26-30","United States","Male",213,9811,6.2,7,7,7,7,3,5452,4
"3-3.49","Engineering","21-25","Trinidad and Tobago","Male",77,11494,4.8,3,2,7,7,5,5118,4
"Does not apply","Business","36-40","Germany","Male",354,21907,5.4,6,6,4,6,5,5817,1
"3.5-4.00","Other","26-30","Belarus","Female",58,8684,2,2,2,2,1,3,5190,6
"Does not apply","Engineering","26-30","Chile","Male",53,9138,4.4,5,6,5,4,2,5693,7
"3.5-4.00","Engineering","26-30","India","Male",74,13947,2.2,3,2,2,2,2,5215,4
"3.5-4.00","Engineering","26-30","India","Male",74,13947,3.2,3,3,4,3,3,5069,4
"3-3.49","Business","21-25","Lithuania","Male",40,8301,4.6,5,5,4,4,5,5470,17
"Does not apply","Business","31-35","Spain","Male",42,19404,5,6,6,5,4,4,5069,4
"Does not apply","Business","31-35","Spain","Male",42,19404,4,5,6,5,3,1,5250,3
"3-3.49","Science","26-30","Australia","Male",64,1771,6.4,8,6,7,6,5,5693,7
"Does not apply","Business","26-30","Spain","Female",190,11472,3.2,3,5,5,2,1,5069,4
"3-3.49","Science","26-30","Australia","Male",64,1771,4,5,4,5,4,2,5353,3
"3-3.49","Science","26-30","Australia","Male",64,1771,2.2,2,1,6,1,1,5802,9
"Does not apply","Science","31-35","Australia","Male",36,997,4.6,7,5,3,5,3,5250,3
"Does not apply","Business","41-45","Malaysia","Male",502,4812,5.8,5,6,6,5,7,6633,2
"Does not apply","Science","31-35","Australia","Male",36,997,4.2,6,4,5,4,2,5069,4
"Does not apply","Other","36-40","United Kingdom","Male",115,13070,8.6,9,8,8,8,10,6633,2
"Does not apply","Other","36-40","United Kingdom","Male",115,13070,2.2,2,2,5,1,1,5802,9
"Does not apply","Other","36-40","United Kingdom","Male",115,13070,1.2,2,1,1,1,1,6232,1
"Does not apply","Other","36-40","United Kingdom","Male",115,13070,3.6,7,3,3,3,2,5353,3
"Does not apply","Other","36-40","United Kingdom","Male",115,13070,4.2,10,4,3,1,3,5050,8
"Does not apply","Business","36-40","Germany","Male",354,21907,5.4,4,6,6,4,7,6633,2
"Does not apply","Other","26-30","United States","Male",213,9811,4.6,5,5,5,5,3,5420,3
"Does not apply","Other","26-30","United States","Male",213,9811,9.2,9,9,9,9,10,5813,4
"2.5-3","Humanities","36-40","Peru","Female",49,30368,2,2,2,2,2,2,6232,1
"2.5-3","Humanities","36-40","Peru","Female",49,30368,4.6,5,5,5,4,4,5980,0
"2.5-3","Humanities","36-40","Peru","Female",49,30368,1,1,1,1,1,1,5685,6
"NULL","NULL","NULL","Iran, Islamic Republic of","NULL",59,34883,1.8,1,2,3,2,1,5578,3
"Does not apply","Business","41-45","Malaysia","Male",502,4812,1.2,1,1,2,1,1,5141,19
"NULL","NULL","NULL","Iran, Islamic Republic of","NULL",59,34883,2.6,2,3,4,3,1,5899,6
"NULL","NULL","NULL","Iran, Islamic Republic of","NULL",59,34883,3.8,6,2,4,4,3,6134,2
"NULL","NULL","NULL","Iran, Islamic Republic of","NULL",59,34883,3.2,4,3,4,3,2,6204,1
"Does not apply","Engineering","36-40","Spain","Male",43,17297,1,1,1,1,1,1,5836,4
"2.5-3","Humanities","36-40","Peru","Female",49,30368,4,5,5,4,4,2,6083,2
"3.5-4.00","Humanities","41-45","United States","Male",25,14482,4,4,3,5,3,5,5069,4
"Does not apply","Engineering","41-45","Bolivia","Male",272,30993,7.8,7,9,9,8,6,5906,9
"Does not apply","Business","31-35","Spain","Male",42,19404,4.8,6,3,3,4,8,5560,0
"Does not apply","Business","31-35","Spain","Male",42,19404,5.6,7,6,5,6,4,5624,3
"Does not apply","Business","41-45","Malaysia","Male",502,4812,2.6,2,5,4,1,1,5353,3
"Do not want to disclose","Science","26-30","Ireland","Female",26,11836,7.6,8,6,8,8,8,5836,4
"Does not apply","Engineering","31-35","United Kingdom","Male",41,17060,2.8,3,6,3,1,1,5215,4
"Do not want to disclose","Science","26-30","Ireland","Female",26,11836,8,10,8,8,8,6,5906,9
"3.5-4.00","Business","41-45","United States","Male",87,14242,3.4,3,5,3,3,3,5556,1
"3.5-4.00","Business","41-45","United States","Male",87,14242,2,2,2,2,2,2,5353,3
"3.5-4.00","Business","41-45","United States","Male",87,14242,2,2,2,2,2,2,6232,1
"2.5-3","Humanities","36-40","Peru","Female",49,30368,6.2,8,7,6,7,3,5103,2
"2.5-3","Humanities","36-40","Peru","Female",49,30368,3.2,3,4,3,4,2,5353,3
"Does not apply","Engineering","36-40","Australia","Male",116,32678,4.8,2,8,7,4,3,5556,1
"Does not apply","Engineering","36-40","Australia","Male",116,32678,5.4,7,5,2,4,9,5402,4
"3.5-4.00","Business","41-45","United States","Male",87,14242,1.8,2,2,2,2,1,5802,9
"Does not apply","Business","31-35","Spain","Male",42,19404,3.4,6,2,2,5,2,5223,1
"3-3.49","Engineering","26-30","United States","Female",126,7663,3.6,3,4,5,5,1,5906,9
"3.5-4.00","Humanities","41-45","United States","Male",25,14482,4,6,2,4,7,1,5470,17
"3.5-4.00","Science","36-40","United States","Male",77,17461,4.2,3,7,4,4,3,5906,9
"3.5-4.00","Science","36-40","United States","Male",77,17461,4.8,6,3,4,7,4,5470,17
"3.5-4.00","Science","36-40","United States","Male",77,17461,4.6,6,3,5,6,3,5069,4
"Does not apply","Engineering","31-35","Lithuania","Male",24,10476,7.8,8,8,7,7,9,6277,3
"3-3.49","Engineering","26-30","United States","Male",45,23889,3,5,4,2,3,1,5069,4
"3-3.49","Engineering","26-30","United States","Male",45,23889,3.6,6,3,4,4,1,5470,17
"Does not apply","Business","41-45","Faroe Islands","Male",26,4638,8.6,10,7,10,8,8,6277,3
"Does not apply","Other","26-30","United States","Male",213,9811,8,8,8,8,8,8,5980,0
"Does not apply","Other","26-30","United States","Male",213,9811,2,2,2,2,2,2,5370,10
"3.5-4.00","Engineering","46-50","United States","Female",27,15096,1.6,1,4,1,1,1,5370,10
"3.5-4.00","Engineering","21-25","United States","Male",149,19580,7.8,9,8,7,7,8,5250,3
"3.5-4.00","Engineering","21-25","United States","Male",149,19580,5.2,6,5,5,5,5,5906,9
"3.5-4.00","Engineering","21-25","United States","Male",149,19580,3.4,3,4,4,3,3,5069,4
"3-3.49","Engineering","26-30","United States","Female",126,7663,3.4,5,3,3,5,1,5693,7
"3.5-4.00","Other","26-30","Belarus","Female",58,8684,5.2,5,5,7,5,4,5758,5
"Does not apply","Business","31-35","Spain","Male",42,19404,4,7,5,4,3,1,5601,1
"Does not apply","Engineering","36-40","Australia","Male",116,32678,5.2,8,5,4,6,3,5813,4
"Does not apply","Engineering","36-40","Australia","Male",116,32678,2.4,3,4,3,1,1,6148,4
"Does not apply","Engineering","36-40","Australia","Male",116,32678,2.2,1,3,5,1,1,5370,10
"Does not apply","Engineering","36-40","Australia","Male",116,32678,2.4,2,3,2,4,1,6271,4
"Does not apply","Engineering","36-40","Australia","Male",116,32678,3.6,3,4,4,4,3,5170,2
"Does not apply","Engineering","36-40","Australia","Male",116,32678,3.8,5,5,3,5,1,5353,3
"Does not apply","Engineering","36-40","Australia","Male",116,32678,4.2,7,2,5,6,1,5288,2
"Does not apply","Other","26-30","United States","Male",213,9811,5.2,8,7,7,2,2,6148,4
"3-3.49","Engineering","26-30","United States","Female",126,7663,5.6,8,6,6,6,2,5250,3
"3-3.49","Engineering","26-30","United States","Female",126,7663,6.2,7,7,7,7,3,5813,4
"Do not want to disclose","Engineering","21-25","Ukraine","Male",47,30182,1,1,1,1,1,1,5069,4
"3.5-4.00","Engineering","21-25","United States","Male",149,19580,4.2,5,4,5,4,3,6082,3
"Does not apply","Science","46-50","United Kingdom","Female",34,14381,4.8,5,5,7,5,2,5215,4
"Does not apply","Science","46-50","United Kingdom","Female",34,14381,6.4,6,7,7,5,7,5250,3
"Does not apply","Science","46-50","United Kingdom","Female",34,14381,5.2,6,6,5,4,5,5693,7
"3.5-4.00","Engineering","21-25","United States","Male",149,19580,1.4,1,2,2,1,1,5256,4
"3.5-4.00","Engineering","21-25","United States","Male",149,19580,6.8,10,5,7,7,5,5980,0
"Does not apply","Other","26-30","United States","Male",213,9811,8,8,8,8,8,8,5817,1
"3-3.49","Engineering","26-30","United States","Female",126,7663,1,1,1,1,1,1,5256,4
"3-3.49","Engineering","26-30","United States","Female",126,7663,4.6,9,3,3,3,5,5631,4
"Does not apply","Business","41-45","United Kingdom","Male",438,17928,3.6,3,6,6,2,1,6082,3
"3.5-4.00","Other","26-30","Belarus","Female",58,8684,5.4,7,5,5,5,5,5813,4
"Does not apply","Engineering","31-35","Lithuania","Male",24,10476,4.6,6,6,6,3,2,6082,3
"Does not apply","Other","26-30","United States","Male",213,9811,7.2,8,8,8,7,5,6082,3
"Does not apply","Other","26-30","United States","Male",213,9811,7.6,8,8,8,8,6,7070,1
"Does not apply","Other","26-30","United States","Male",213,9811,5.4,6,6,6,6,3,5114,5
"Does not apply","Science","36-40","United Kingdom","Male",12,7040,6.8,9,9,5,4,7,5470,17
"Does not apply","Science","36-40","United Kingdom","Male",12,7040,3.6,4,5,5,2,2,5215,4
"Do not want to disclose","Engineering","26-30","India","Male",230,8550,4.2,8,2,2,2,7,6109,1
"3.5-4.00","Business","31-35","Spain","Male",29,4508,5.6,7,5,5,7,4,5470,17
"3.5-4.00","Business","over 50","United States","Male",137,25607,6,6,7,8,6,3,5693,7
"Does not apply","Other","26-30","United States","Male",213,9811,9,9,9,9,9,9,5369,2
"Does not apply","Other","26-30","United States","Male",213,9811,8,8,8,8,8,8,5504,7
"Does not apply","Engineering","41-45","Bolivia","Male",272,30993,4.2,4,5,4,4,4,5693,7
"Does not apply","Engineering","41-45","Bolivia","Male",272,30993,4.8,5,4,6,5,4,5178,6
"Does not apply","Engineering","41-45","Bolivia","Male",272,30993,1.6,4,1,1,1,1,6082,3
"Does not apply","Engineering","41-45","Bolivia","Male",272,30993,4.8,7,4,5,5,3,7024,3
"Does not apply","Engineering","41-45","Bolivia","Male",272,30993,6.2,8,7,6,6,4,5752,6
"Does not apply","Engineering","41-45","Bolivia","Male",272,30993,3.6,3,5,3,3,4,5667,1
"Does not apply","Engineering","41-45","Bolivia","Male",272,30993,3.4,3,3,4,3,4,5993,2
"Does not apply","Engineering","41-45","Bolivia","Male",272,30993,6,6,6,5,7,6,6633,2
"Does not apply","Engineering","41-45","Bolivia","Male",272,30993,3.8,6,5,6,1,1,5154,3
"Does not apply","Engineering","41-45","Bolivia","Male",272,30993,5,4,5,6,6,4,5204,6
"Does not apply","Engineering","41-45","Bolivia","Male",272,30993,4.6,4,5,4,6,4,5151,2
"Does not apply","Engineering","41-45","Bolivia","Male",272,30993,3.8,4,5,5,3,2,6083,2
"3-3.49","Science","26-30","Egypt","Male",98,2295,4,8,4,3,3,2,5069,4
"3-3.49","Science","26-30","Egypt","Male",98,2295,5.6,8,8,5,5,2,5906,9
"3-3.49","Science","26-30","Egypt","Male",98,2295,7,8,8,8,5,6,5307,6
"3-3.49","Science","26-30","Egypt","Male",98,2295,8.4,7,8,9,8,10,7070,1
"3-3.49","Science","26-30","Egypt","Male",98,2295,7.8,9,8,8,5,9,6204,1
"Does not apply","Engineering","41-45","Bolivia","Male",272,30993,4,6,7,5,1,1,5624,3
"Does not apply","Engineering","41-45","Bolivia","Male",272,30993,5.2,4,5,7,7,3,5631,4
"Does not apply","Engineering","41-45","Bolivia","Male",272,30993,4.4,5,5,5,4,3,5015,0
"Does not apply","Engineering","41-45","Bolivia","Male",272,30993,5.2,5,6,6,6,3,5421,6
"Does not apply","Engineering","41-45","Bolivia","Male",272,30993,3,3,4,3,2,3,5004,5
"Does not apply","Engineering","41-45","Bolivia","Male",272,30993,1,1,1,1,1,1,6109,1
"Does not apply","Engineering","41-45","Bolivia","Male",272,30993,5.8,8,5,7,5,4,5504,7
"Does not apply","Engineering","41-45","Bolivia","Male",272,30993,2,2,2,2,2,2,5256,4
"Does not apply","Engineering","41-45","Bolivia","Male",272,30993,3.4,3,3,5,4,2,6134,2
"Does not apply","Engineering","41-45","Bolivia","Male",272,30993,2,2,2,2,2,2,5802,9
"Does not apply","Engineering","41-45","Bolivia","Male",272,30993,1,1,1,1,1,1,6792,6
